{$U_0$ / mV};{$R_0$ / $\symup{\omega}$};{$U_{\symup{m}}$ / mV};{$R_{\symup{m}}$ / $\symup{\omega}$};{$\Delta R$ / $\symup{\omega}$};{$\Delta U$ / mV}
8.1;2.600;8.1;2.535;0.065;0
8.1;2.650;8.3;2.520;0.13;0.2
8.1;2.630;8.1;2.490;0.14;0
